run_id,algorithm_name,input_size,execution_time_ns,memory_kb,trial_number,date_run
65,Selection Sort,1000,792900,0.0,3,2026-08-19T09:16:47.095651700
66,Insertion Sort,1000,1101800,0.0,3,2026-08-19T09:16:47.095651700
67,Merge Sort,1000,542200,0.0,3,2026-08-19T09:16:47.095651700
68,Quick Sort,1000,169300,0.0,3,2026-08-19T09:16:47.095651700
69,Selection Sort,5000,19162200,0.0,1,2026-08-19T09:16:47.095651700
70,Insertion Sort,5000,26682300,0.0,1,2026-08-19T09:16:47.095651700
71,Merge Sort,5000,3483600,0.0,1,2026-08-19T09:16:47.095651700
72,Quick Sort,5000,702600,0.0,1,2026-08-19T09:16:47.095651700
73,Selection Sort,5000,19511200,0.0,2,2026-08-19T09:16:47.095651700
74,Insertion Sort,5000,15793500,0.0,2,2026-08-19T09:16:47.095651700
75,Merge Sort,5000,1488700,0.0,2,2026-08-19T09:16:47.095651700
76,Quick Sort,5000,572700,0.0,2,2026-08-19T09:16:47.095651700
77,Selection Sort,5000,18650900,0.0,3,2026-08-19T09:16:47.095651700
78,Insertion Sort,5000,14573100,1022.984375,3,2026-08-19T09:16:47.095651700
79,Merge Sort,5000,493600,0.0,3,2026-08-19T09:16:47.095651700
80,Quick Sort,5000,507800,0.0,3,2026-08-19T09:16:47.095651700
81,Selection Sort,10000,67566100,0.0,1,2026-08-19T09:16:47.095651700
82,Insertion Sort,10000,59556800,0.0,1,2026-08-19T09:16:47.095651700
83,Merge Sort,10000,783400,0.0,1,2026-08-19T09:16:47.095651700
84,Quick Sort,10000,1999200,0.0,1,2026-08-19T09:16:47.095651700
85,Selection Sort,10000,67177900,0.0,2,2026-08-19T09:16:47.095651700
86,Insertion Sort,10000,59615600,0.0,2,2026-08-19T09:16:47.095651700
87,Merge Sort,10000,757500,0.0,2,2026-08-19T09:16:47.095651700
88,Quick Sort,10000,2128100,0.0,2,2026-08-19T09:16:47.095651700
89,Selection Sort,10000,74192800,0.0,3,2026-08-19T09:16:47.095651700
90,Insertion Sort,10000,59089000,0.0,3,2026-08-19T09:16:47.095651700
91,Merge Sort,10000,751800,0.0,3,2026-08-19T09:16:47.095651700
92,Quick Sort,10000,2013700,0.0,3,2026-08-19T09:16:47.095651700
93,Hash Table Insert,100,4322700,0.0,1,2026-08-19T09:16:47.095651700
94,Hash Table Lookup,100,69800,0.0,1,2026-08-19T09:16:47.095651700
95,Hash Table Insert,100,47000,0.0,2,2026-08-19T09:16:47.095651700
96,Hash Table Lookup,100,60600,0.0,2,2026-08-19T09:16:47.095651700
97,Hash Table Insert,100,36300,0.0,3,2026-08-19T09:16:47.095651700
98,Hash Table Lookup,100,58900,0.0,3,2026-08-19T09:16:47.095651700
99,Hash Table Insert,500,196200,0.0,1,2026-08-19T09:16:47.095651700
100,Hash Table Lookup,500,281900,1024.015625,1,2026-08-19T09:16:47.095651700
101,Hash Table Insert,500,132400,0.0,2,2026-08-19T09:16:47.095651700
102,Hash Table Lookup,500,185700,0.0,2,2026-08-19T09:16:47.095651700
103,Hash Table Insert,500,99400,0.0,3,2026-08-19T09:16:47.095651700
